Ambarella Inc,AMBA,$,1.41B,19.59,22.02
Apple Inc.,AAPL,$,583.97B,11.42,20.47
Baidu Inc (ADR),BIDU,$,65.95B,19.8,26.26
Biogen Inc,BIIB,$,59.23B,17.79,21.32
Bridgford Foods Corporation,BRID,$,115.35M,6.79,25.18
Cal-Maine Foods Inc,CALM,$,2.56B,6.98,36.01
"Diamond Hill Investment Group, Inc.",DHIL,$,590.60M,15.84,29.32
Digirad Corporation,DRAD,$,114.54M,5.33,40.82
Enanta Pharmaceuticals Inc,ENTA,$,588.42M,9.51,25.59
Energy Focus Inc,EFOI,$,99.23M,9.52,25.19
Fifth Street Asset Management Inc,FSAM,$,164.46M,8.48,25.9
Five Prime Therapeutics Inc,FPRX,$,1.29B,6.21,70.93
Fonar Corporation,FONR,$,96.18M,7.43,20.43
"Gilead Sciences, Inc.",GILD,$,134.52B,8.32,41.86
HD Supply Holdings Inc,HDS,$,6.70B,5.08,22.11
Insys Therapeutics Inc,INSY,$,1.07B,19.51,20.65
Inteliquent Inc,IQNT,$,565.78M,14.59,20.71
LRAD Corp,LRAD,$,56.59M,6.63,25.31
Ligand Pharmaceuticals Inc.,LGND,$,2.64B,10.53,64.38
MIND C.T.I. Ltd.,MNDO,$,38.86M,6.76,20.16
Marine Petroleum Trust,MARPS,$,10.93M,11.43,100.99
Natural Health Trends Corp.,NHTC,$,410.56M,9.58,53.47
Petmed Express Inc,PETS,$,367.36M,17.96,23.87
Pilgrim's Pride Corporation,PPC,$,6.35B,9.99,20.15
Rambus Inc.,RMBS,$,1.50B,7.76,32.33
Retrophin Inc,RTRX,$,565.98M,5.23,36.19
Skyworks Solutions Inc,SWKS,$,13.89B,15.21,26.92
Spok Holdings Inc,USMO,$,420.88M,16.76,23.13
T. Rowe Price Group Inc,TROW,$,18.95B,16.43,22.75
"Tessera Technologies, Inc.",TSRA,$,1.48B,13.43,20.98
Ubiquiti Networks Inc,UBNT,$,2.72B,19.8,25.02
United Therapeutics Corporation,UTHR,$,5.30B,8.99,32.03
"United-Guardian, Inc.",UG,$,89.71M,19.7,29.13
Virgin America Inc,VA,$,2.10B,7.22,26.51
Alibaba Group Holding Ltd,BABA,$,197.04B,19.09,22.14
Artisan Partners Asset Management Inc,APAM,$,2.50B,18.44,23.62
Buckle Inc,BKE,$,1.50B,9.79,26.4
Ciner Resources LP,CINR,$,563.11M,8.28,24.4
Cross Timbers Royalty Trust,CRT,$,93.58M,11.57,68.35
"Enzo Biochem, Inc.",ENZ,$,236.19M,13.56,23.92
Graco Inc.,GGG,$,4.70B,14.55,23.55
InterContinental Hotels Group PLC (ADR),IHG,$,9.76B,8.11,37.16
King Digital Entertainment PLC,KING,$,5.69B,10.26,40.47
Lazard Ltd,LAZ,$,4.95B,5.15,25.4
Manning and Napier Inc,MN,$,124.71M,9.62,47.9
Marcus & Millichap Inc,MMI,$,935.07M,14.68,23.92
Mesa Royalty Trust,MTR,$,17.18M,8.97,41.31
Mesabi Trust,MSB,$,105.40M,9.07,100.16
Michael Kors Holdings Ltd,KORS,$,9.53B,12.04,32.68
Moelis & Co,MC,$,1.51B,18.29,23.95
North European Oil Royalty,NRT,$,69.94M,7.03,408.84
Northern Tier Energy LP,NTI,$,2.11B,6.41,28.76
Permian Basin Royalty Trust,PBT,$,298.35M,18.79,645.38
Polaris Industries Inc.,PII,$,6.21B,14.18,20.41
"Pzena Investment Management, Inc.",PZN,$,486.86M,15.14,41.56
Robert Half International Inc.,RHI,$,5.92B,16.91,21.36
Sabine Royalty Trust,SBR,$,448.94M,9.98,709.39
San Juan Basin Royalty Trust,SJT,$,254.96M,14.97,142.16
Taro Pharmaceutical Industries Ltd.,TARO,$,6.48B,10.45,31.56
"Terra Nitrogen Company, L.P.",TNH,$,2.26B,11.99,71.41
"USANA Health Sciences, Inc.",USNA,$,1.50B,17.46,24.47
Westlake Chemical Partners LP,WLKP,$,508.23M,12.6,29.65